method,ticker,as_of_date,as_of_price,step_ahead,forecast_date,predicted_price,upper_corridor,lower_corridor,corridor_width,confidence_level,actual_price,prediction_error,abs_pct_error,within_corridor
mle_gbm,BZ=F,2026-02-04,69.45999908447266,3,2026-02-09,69.49679515807615,74.47050841874422,64.85526471883112,9.615243699913094,0.9,69.04000091552734,-0.4567942425488098,0.661637074871584,True
mle_gbm,BZ=F,2026-02-04,69.45999908447266,4,2026-02-10,69.50906484710718,75.28440565370015,64.1767714570765,11.10763419662365,0.9,68.80000305175781,-0.7090617953493705,1.0306130289208677,True
mle_gbm,BZ=F,2026-02-04,69.45999908447266,5,2026-02-11,69.52133670235715,76.01042746476507,63.586226496660174,12.424200968104898,0.9,69.4000015258789,-0.1213351764782402,0.1748345443954996,True
mle_gbm,BZ=F,2026-02-04,69.45999908447266,6,2026-02-12,69.53361072420843,76.67412424802862,63.05807947288116,13.616044775147458,0.9,67.5199966430664,-2.013614081142024,2.9822484911939053,True
mle_gbm,BZ=F,2026-02-04,69.45999908447266,7,2026-02-13,69.54588691304347,77.29066727621252,62.57715914441826,14.713508131794256,0.9,67.75,-1.795886913043475,2.6507555912080814,True
mle_gbm,BZ=F,2026-02-05,67.55000305175781,0,2026-02-05,67.55000305175781,67.55000305175781,67.55000305175781,0.0,0.9,67.55000305175781,0.0,0.0,True
mle_gbm,BZ=F,2026-02-05,67.55000305175781,1,2026-02-06,67.56112199256255,70.31207043366342,64.91780396653722,5.394266467126201,0.9,68.05000305175781,0.4888810591952648,0.7184144559456217,True
mle_gbm,BZ=F,2026-02-05,67.55000305175781,2,2026-02-09,67.57224276357955,71.49586819241635,63.8639421765138,7.631926015902557,0.9,69.04000091552734,1.4677581519477911,2.1259532625783715,True
mle_gbm,BZ=F,2026-02-05,67.55000305175781,3,2026-02-10,67.5833653651101,72.42049820287978,63.06931583484102,9.351182368038764,0.9,68.80000305175781,1.216637686647715,1.7683686521531785,True
mle_gbm,BZ=F,2026-02-05,67.55000305175781,4,2026-02-11,67.59448979745541,73.21117223891426,62.408713195685095,10.802459043229163,0.9,69.4000015258789,1.8055117284234967,2.6016018569541823,True
mle_gbm,BZ=F,2026-02-05,67.55000305175781,5,2026-02-12,67.60561606091697,73.91636734938221,61.83365723822081,12.082710111161404,0.9,67.5199966430664,-0.085619417850566,0.1268060161542651,True
mle_gbm,BZ=F,2026-02-05,67.55000305175781,6,2026-02-13,67.61674415579616,74.56093441090147,61.31929711387741,13.241637297024056,0.9,67.75,0.1332558442038447,0.196687592920804,True
mle_gbm,BZ=F,2026-02-05,67.55000305175781,7,2026-02-16,67.6278740823944,75.15962951353434,60.85087676065,14.308752752884338,0.9,,,,
mle_gbm,BZ=F,2026-02-06,68.05000305175781,0,2026-02-06,68.05000305175781,68.05000305175781,68.05000305175781,0.0,0.9,68.05000305175781,0.0,0.0,True
mle_gbm,BZ=F,2026-02-06,68.05000305175781,1,2026-02-09,68.06141311417284,70.83218391929692,65.39902765635465,5.433156262942276,0.9,69.04000091552734,0.9785878013545072,1.4174214779513703,True
mle_gbm,BZ=F,2026-02-06,68.05000305175781,2,2026-02-10,68.07282508973294,72.02472846510938,64.33775752368383,7.6869709414255425,0.9,68.80000305175781,0.727177962024868,1.0569446653626111,True
mle_gbm,BZ=F,2026-02-06,68.05000305175781,3,2026-02-11,68.08423897875879,72.95624232644442,63.53758704533118,9.418655281113246,0.9,69.4000015258789,1.3157625471201158,1.8959114094968348,True
mle_gbm,BZ=F,2026-02-06,68.05000305175781,4,2026-02-12,68.09565478157133,73.75283878742098,62.872402966024005,10.88043582139698,0.9,67.5199966430664,-0.5756581385049202,0.8525742996523598,True
mle_gbm,BZ=F,2026-02-06,68.05000305175781,5,2026-02-13,68.10707249849132,74.46334376965075,62.29337939300692,12.169964376643826,0.9,67.75,-0.3570724984913198,0.5270442782159702,True
mle_gbm,BZ=F,2026-02-06,68.05000305175781,6,2026-02-16,68.11849212983984,75.11278691665255,61.77548671162849,13.337300205024064,0.9,,,,
mle_gbm,BZ=F,2026-02-06,68.05000305175781,7,2026-02-17,68.12991367593776,75.7160304233169,61.30386275587573,14.41216766744116,0.9,67.41999816894531,-0.709915506992445,1.052974675575478,True
mle_gbm,BZ=F,2026-02-09,69.04000091552734,0,2026-02-09,69.04000091552734,69.04000091552734,69.04000091552734,0.0,0.9,69.04000091552734,0.0,0.0,True
mle_gbm,BZ=F,2026-02-09,69.04000091552734,1,2026-02-10,69.0519962655233,71.86269478444022,66.35122997483604,5.511464809604178,0.9,68.80000305175781,-0.2519932137654876,0.3662691898079056,True
mle_gbm,BZ=F,2026-02-09,69.04000091552734,2,2026-02-11,69.0639936996504,73.07286495663233,65.27505427050352,7.797810686128813,0.9,69.4000015258789,0.33600782622851,0.4841611222489878,True
mle_gbm,BZ=F,2026-02-09,69.04000091552734,3,2026-02-12,69.0759932182709,74.0182535271312,64.46373173803174,9.554521789099454,0.9,67.5199966430664,-1.5559965752044889,2.304497411974136,True
mle_gbm,BZ=F,2026-02-09,69.04000091552734,4,2026-02-13,69.08799482174683,74.8267889988944,63.78933390500349,11.037455093890912,0.9,67.75,-1.3379948217468325,1.974900105899384,True
mle_gbm,BZ=F,2026-02-09,69.04000091552734,5,2026-02-16,69.09999851044056,75.54799975136137,63.20233242253175,12.345667328829627,0.9,,,,
mle_gbm,BZ=F,2026-02-09,69.04000091552734,6,2026-02-17,69.11200428471425,76.20727537247845,62.67733773323352,13.529937639244928,0.9,67.41999816894531,-1.6920061157689332,2.509650195375261,True
mle_gbm,BZ=F,2026-02-09,69.04000091552734,7,2026-02-18,69.12401214493039,76.81969169524886,62.1992740346809,14.620417660567966,0.9,70.3499984741211,1.2259863291907038,1.7426956016803532,True
mle_gbm,BZ=F,2026-02-10,68.80000305175781,0,2026-02-10,68.80000305175781,68.80000305175781,68.80000305175781,0.0,0.9,68.80000305175781,0.0,0.0,True
