Seed,Method,Risk Bin,Count,pi_D,pi_N,pi_T
47,neural,Low,530,0.050390828400850296,0.05745609849691391,0.8921531438827515
47,neural,Medium,624,0.051420629024505615,0.4527497887611389,0.49582967162132263
47,neural,High,146,0.05026606470346451,0.8925885558128357,0.05714539811015129
47,hybrid,Low,530,0.32065048813819885,0.39062875509262085,0.2887207567691803
47,hybrid,Medium,624,0.27474257349967957,0.3997618854045868,0.3254956305027008
47,hybrid,High,146,0.21755972504615784,0.37853652238845825,0.4039037823677063
47,monotonic_hybrid,Low,530,0.36140429973602295,0.32052457332611084,0.3180711567401886
47,monotonic_hybrid,Medium,624,0.28302001953125,0.295920193195343,0.42105984687805176
47,monotonic_hybrid,High,146,0.18469956517219543,0.22915513813495636,0.5861453413963318
48,static,Low,518,0.3499999940395355,0.3499999940395355,0.30000001192092896
48,static,Medium,638,0.34999996423721313,0.34999996423721313,0.29999998211860657
48,static,High,144,0.3500000238418579,0.3500000238418579,0.30000001192092896
48,prior,Low,518,0.46115848422050476,0.30700358748435974,0.23183797299861908
48,prior,Medium,638,0.3740733861923218,0.3026462495326996,0.323280394077301
48,prior,High,144,0.2624950408935547,0.25349029898643494,0.48401471972465515
48,neural,Low,518,0.05043966323137283,0.06259458512067795,0.8869657516479492
48,neural,Medium,638,0.052114397287368774,0.3914499282836914,0.5564357042312622
48,neural,High,144,0.05125202238559723,0.8670294880867004,0.08171847462654114
48,hybrid,Low,518,0.32344841957092285,0.3877865672111511,0.2887650728225708
48,hybrid,Medium,638,0.25199094414711,0.3620142936706543,0.3859947919845581
48,hybrid,High,144,0.17235982418060303,0.2828945219516754,0.544745683670044
48,monotonic_hybrid,Low,518,0.3638295531272888,0.3178219795227051,0.3183485269546509
48,monotonic_hybrid,Medium,638,0.2804848551750183,0.29535070061683655,0.42416447401046753
48,monotonic_hybrid,High,144,0.18605677783489227,0.2281448096036911,0.5857985019683838
49,static,Low,501,0.3500000238418579,0.3500000238418579,0.30000001192092896
49,static,Medium,650,0.3499999940395355,0.3499999940395355,0.30000001192092896
49,static,High,149,0.3500000238418579,0.3500000238418579,0.30000001192092896
49,prior,Low,501,0.4572018086910248,0.30928200483322144,0.23351621627807617
49,prior,Medium,650,0.36588817834854126,0.3055308163166046,0.3285810649394989
49,prior,High,149,0.2642509341239929,0.2566680312156677,0.47908106446266174
49,neural,Low,501,0.0508224181830883,0.07379772514104843,0.8753799200057983
49,neural,Medium,650,0.052042365074157715,0.41526103019714355,0.5326966047286987
49,neural,High,149,0.05100686475634575,0.8380857706069946,0.11090739816427231
49,hybrid,Low,501,0.3206311762332916,0.39063864946365356,0.2887302339076996
49,hybrid,Medium,650,0.26246583461761475,0.3940427005290985,0.34349149465560913
49,hybrid,High,149,0.21834905445575714,0.37434881925582886,0.40730220079421997
49,monotonic_hybrid,Low,501,0.35953837633132935,0.31994807720184326,0.3205135762691498
49,monotonic_hybrid,Medium,650,0.2734719514846802,0.2970396876335144,0.4294884204864502
49,monotonic_hybrid,High,149,0.18718194961547852,0.23140203952789307,0.5814160704612732
50,static,Low,538,0.34999996423721313,0.34999996423721313,0.30000001192092896
50,static,Medium,608,0.3499999940395355,0.3499999940395355,0.29999998211860657
50,static,High,154,0.3500000238418579,0.3500000238418579,0.30000001192092896
50,prior,Low,538,0.4527148902416229,0.3118659555912018,0.2354191690683365
50,prior,Medium,608,0.37202635407447815,0.3026130795478821,0.32536059617996216
50,prior,High,154,0.25590628385543823,0.25780653953552246,0.4862872064113617
50,neural,Low,538,0.05040429159998894,0.05441081151366234,0.8951849341392517
50,neural,Medium,608,0.05198486149311066,0.2818572521209717,0.6661579012870789
50,neural,High,154,0.05132417380809784,0.8429891467094421,0.10568667948246002
50,hybrid,Low,538,0.31624117493629456,0.3920576274394989,0.2917012572288513
50,hybrid,Medium,608,0.25051450729370117,0.36157602071762085,0.38790950179100037
50,hybrid,High,154,0.1679789423942566,0.28685399889945984,0.545167088508606
50,monotonic_hybrid,Low,538,0.35576727986335754,0.3217218816280365,0.32251083850860596
50,monotonic_hybrid,Medium,608,0.27846094965934753,0.2949541509151459,0.42658495903015137
50,monotonic_hybrid,High,154,0.1811908632516861,0.23144015669822693,0.5873690247535706
51,static,Low,528,0.3499999940395355,0.3499999940395355,0.30000001192092896
51,static,Medium,631,0.3500000238418579,0.3500000238418579,0.29999998211860657
51,static,High,141,0.34999996423721313,0.34999996423721313,0.30000001192092896
51,prior,Low,528,0.4568805694580078,0.3094145655632019,0.23370495438575745
51,prior,Medium,631,0.3676261007785797,0.3046138882637024,0.32776010036468506
51,prior,High,141,0.2603033185005188,0.25495645403862,0.4847402274608612
51,neural,Low,528,0.05075625702738762,0.07798617333173752,0.8712576031684875
51,neural,Medium,631,0.05319449305534363,0.6045112609863281,0.342294305562973
51,neural,High,141,0.05129249021410942,0.8948287963867188,0.0538787879049778
51,hybrid,Low,528,0.32044216990470886,0.39026904106140137,0.2892889082431793
51,hybrid,Medium,631,0.30314308404922485,0.38585761189460754,0.31099939346313477
51,hybrid,High,141,0.3215984106063843,0.328668475151062,0.3497331142425537
51,monotonic_hybrid,Low,528,0.3595323860645294,0.32015371322631836,0.320313960313797
51,monotonic_hybrid,Medium,631,0.27496686577796936,0.29652056097984314,0.42851272225379944
51,monotonic_hybrid,High,141,0.1844627857208252,0.22970807552337646,0.5858290791511536
