Stage,Config ID,Seed,lambda_fin,hybrid_delta,prior_kl_weight,min_allocation,CRPS,Direction Brier,Tail Brier,Stress CRPS,Stress Tail Brier,Mean predicted tail probability,Observed tail frequency,Stress predicted tail probability,Stress observed tail frequency,Mean pi_D,Mean pi_N,Mean pi_T,Risk monotonic violations,Dir monotonic violations,Delta pi_T risk 0->1,Delta pi_D dir 0->1,Baseline CRPS,Baseline Direction Brier,Baseline Tail Brier,Baseline Stress CRPS,Baseline Stress Tail Brier,CRPS Delta,CRPS Delta %,Direction Brier Delta,Tail Brier Delta,Stress CRPS Delta,Stress Tail Brier Delta
Stage1,S1_07,101,2.0,0.15,0.02,0.05,0.7691344618797302,0.23100121319293976,0.07842952013015747,1.2416621446609497,0.15728014707565308,0.05033174902200699,0.08692307770252228,0.17473497986793518,0.19847328960895538,0.346834659576416,0.3012606203556061,0.3519047796726227,0,0,0.4732244312763214,0.2522495687007904,0.7690449357032776,0.2312009334564209,0.07885047793388367,1.2428877353668213,0.15914425253868103,8.952617645263672e-05,0.011641215265368942,-0.00019972026348114014,-0.0004209578037261963,-0.001225590705871582,-0.001864105463027954
Stage1,S1_07,102,2.0,0.15,0.02,0.05,0.7367284893989563,0.2170013189315796,0.07967700809240341,1.482214093208313,0.2007794827222824,0.04169926047325134,0.08923076838254929,0.16014324128627777,0.2539682686328888,0.34972289204597473,0.30131927132606506,0.348957896232605,0,0,0.473202645778656,0.2521796226501465,0.7375140190124512,0.21709254384040833,0.08049541711807251,1.49326491355896,0.20547492802143097,-0.000785529613494873,-0.10651046532603081,-9.122490882873535e-05,-0.0008184090256690979,-0.011050820350646973,-0.00469544529914856
Stage1,S1_07,103,2.0,0.15,0.02,0.05,0.7082966566085815,0.22203096747398376,0.07860193401575089,1.1719590425491333,0.1281130611896515,0.04264627397060394,0.08538461476564407,0.14672638475894928,0.14159291982650757,0.3516992926597595,0.3010272681713104,0.34727349877357483,0,0,0.4731709063053131,0.25207534432411194,0.7085734009742737,0.22281953692436218,0.07894465327262878,1.1716594696044922,0.12799113988876343,-0.00027674436569213867,-0.039056555793884014,-0.000788569450378418,-0.00034271925687789917,0.0002995729446411133,0.00012192130088806152
Stage1,S1_08,101,2.0,0.35,0.02,0.05,0.769253671169281,0.23109959065914154,0.07835517078638077,1.2413859367370605,0.15706434845924377,0.05177009105682373,0.08692307770252228,0.17904308438301086,0.19847328960895538,0.29672911763191223,0.2965923249721527,0.40667855739593506,0,0,0.4637744724750519,0.225552037358284,0.7690449357032776,0.2312009334564209,0.07885047793388367,1.2428877353668213,0.15914425253868103,0.00020873546600341797,0.02714216768263784,-0.00010134279727935791,-0.0004953071475028992,-0.0015017986297607422,-0.002079904079437256
Stage1,S1_08,102,2.0,0.35,0.02,0.05,0.7366689443588257,0.21708135306835175,0.0795757845044136,1.4806642532348633,0.20016925036907196,0.04250125586986542,0.08923076838254929,0.16343674063682556,0.2539682686328888,0.2993583381175995,0.29699593782424927,0.403645783662796,0,0,0.4636800289154053,0.22539493441581726,0.7375140190124512,0.21709254384040833,0.08049541711807251,1.49326491355896,0.20547492802143097,-0.0008450746536254883,-0.11458421560000491,-1.119077205657959e-05,-0.000919632613658905,-0.01260066032409668,-0.005305677652359009
Stage1,S1_08,103,2.0,0.35,0.02,0.05,0.7084267139434814,0.22208625078201294,0.07855089753866196,1.1721428632736206,0.12818124890327454,0.04355807974934578,0.08538461476564407,0.1499587893486023,0.14159291982650757,0.3007481098175049,0.29692697525024414,0.40232497453689575,0,0,0.46353858709335327,0.22511108219623566,0.7085734009742737,0.22281953692436218,0.07894465327262878,1.1716594696044922,0.12799113988876343,-0.00014668703079223633,-0.020701741074466627,-0.0007332861423492432,-0.0003937557339668274,0.00048339366912841797,0.0001901090145111084
Stage1,S1_09,101,2.0,0.5,0.02,0.05,0.769359290599823,0.23117542266845703,0.07830682396888733,1.2412364482879639,0.15693528950214386,0.05280929431319237,0.08692307770252228,0.18209733068943024,0.19847328960895538,0.2619195580482483,0.28957393765449524,0.44850656390190125,0,0,0.4486428201198578,0.20264680683612823,0.7690449357032776,0.2312009334564209,0.07885047793388367,1.2428877353668213,0.15914425253868103,0.00031435489654541016,0.040876011524338084,-2.5510787963867188e-05,-0.0005436539649963379,-0.0016512870788574219,-0.0022089630365371704
Stage1,S1_09,102,2.0,0.5,0.02,0.05,0.7366387844085693,0.21713991463184357,0.07950877398252487,1.4796154499053955,0.19975939393043518,0.043048687279224396,0.08923076838254929,0.1657153069972992,0.2539682686328888,0.264348566532135,0.29021236300468445,0.4454391300678253,0,0,0.44849446415901184,0.2024434357881546,0.7375140190124512,0.21709254384040833,0.08049541711807251,1.49326491355896,0.20547492802143097,-0.0008752346038818359,-0.11867362264568149,4.73707914352417e-05,-0.000986643135547638,-0.013649463653564453,-0.005715534090995789
Stage1,S1_09,103,2.0,0.5,0.02,0.05,0.7085248827934265,0.22213001549243927,0.07851391285657883,1.1723171472549438,0.12824437022209167,0.04423986375331879,0.08538461476564407,0.15228940546512604,0.14159291982650757,0.2653372585773468,0.29024967551231384,0.44441312551498413,0,0,0.4482407867908478,0.20202180743217468,0.7085734009742737,0.22281953692436218,0.07894465327262878,1.1716594696044922,0.12799113988876343,-4.851818084716797e-05,-0.006847304849498511,-0.0006895214319229126,-0.0004307404160499573,0.0006576776504516602,0.00025323033332824707
Stage1,S1_10,101,2.5,0.15,0.02,0.05,0.769214928150177,0.2309514880180359,0.0783739760518074,1.242047905921936,0.15707892179489136,0.0514272004365921,0.08692307770252228,0.1784500926733017,0.19847328960895538,0.346811980009079,0.3012651801109314,0.3519228994846344,0,0,0.4732207655906677,0.25223878026008606,0.7690449357032776,0.2312009334564209,0.07885047793388367,1.2428877353668213,0.15914425253868103,0.00016999244689941406,0.02210435814702545,-0.00024944543838500977,-0.00047650188207626343,-0.0008398294448852539,-0.002065330743789673
