CRPS,Direction Brier,Tail Brier,Stress CRPS,Stress Tail Brier,Mean predicted tail probability,Observed tail frequency,Stress predicted tail probability,Stress observed tail frequency,Risk monotonic violations,Dir monotonic violations,Delta pi_T risk 0->1,Delta pi_D dir 0->1,Seed,Method,Best Epoch,Best Validation Objective,Mean pi_D,Mean pi_N,Mean pi_T,"Corr(risk, pi_T)","Corr(dir_unc, pi_D)",Near-floor pi_D rate,Near-floor pi_N rate,Near-floor pi_T rate
0.7262791991233826,0.22092273831367493,0.0812525600194931,1.1041926145553589,0.1531233787536621,0.05591914430260658,0.08923076838254929,0.18619614839553833,0.18269231915473938,5.0,0.0,0.3360424041748047,0.19497241079807281,46,hybrid,55,1.2703056335449219,0.2773115336894989,0.38716334104537964,0.33552518486976624,0.9029261359633705,0.7771262728873157,0.0,0.0,0.0
0.7270667552947998,0.22111055254936218,0.08121395111083984,1.1070728302001953,0.1534091681241989,0.059168219566345215,0.08923076838254929,0.1969306319952011,0.18269231915473938,0.0,0.0,0.4629931151866913,0.2240336835384369,46,monotonic_hybrid,55,1.284555196762085,0.2976396679878235,0.2990795373916626,0.4032808244228363,0.932811202672252,0.6499383062391378,0.0,0.0,0.0
0.7063468098640442,0.22235038876533508,0.07174952328205109,1.2859711647033691,0.16923341155052185,0.05265691876411438,0.07923077046871185,0.18853527307510376,0.21296297013759613,,,,,47,crps,52,0.7590333223342896,,,,,,,,
0.7071672081947327,0.22160421311855316,0.07171613723039627,1.2881032228469849,0.168903186917305,0.0570511668920517,0.07923077046871185,0.19870299100875854,0.21296297013759613,0.0,0.0,0.0,0.0,47,static,50,1.149146318435669,0.3499999940395355,0.3499999940395355,0.30000001192092896,,,0.0,0.0,0.0
0.7075952887535095,0.22159498929977417,0.07180990278720856,1.288628101348877,0.1688206046819687,0.05940646678209305,0.07923077046871185,0.20964565873146057,0.21296297013759613,0.0,0.0,0.4713450074195862,0.2678782641887665,47,prior,50,1.1762614250183105,0.39535441994667053,0.30056536197662354,0.30408021807670593,0.9132240665905024,0.6734278208360983,0.0,0.0,0.0
0.7074574828147888,0.22207939624786377,0.0715988501906395,1.286392331123352,0.1690344661474228,0.05753391608595848,0.07923077046871185,0.1947450339794159,0.21296297013759613,100.0,100.0,-0.8495658040046692,-0.0019034072756767273,47,neural,60,1.0636234283447266,0.0508711114525795,0.3409888744354248,0.6081400513648987,-0.9232065980779945,-0.3189862911249061,1.0,0.24230769276618958,0.054615385830402374
0.7060698866844177,0.22140184044837952,0.07191260159015656,1.2889420986175537,0.1690092384815216,0.05118846148252487,0.07923077046871185,0.19518476724624634,0.21296297013759613,12.0,0.0,0.3345695436000824,0.21287144720554352,47,hybrid,58,1.1527997255325317,0.28703680634498596,0.39365458488464355,0.31930866837501526,0.7890230942008787,0.8147636894872463,0.0,0.0,0.0
0.708151638507843,0.22173696756362915,0.07181812077760696,1.2889187335968018,0.16871678829193115,0.06175263598561287,0.07923077046871185,0.2176528126001358,0.21296297013759613,0.0,0.0,0.4635496735572815,0.2248864620923996,47,monotonic_hybrid,50,1.1697440147399902,0.30393457412719727,0.2984530031681061,0.39761248230934143,0.931126052447247,0.6517621166834856,0.0,0.0,0.0
0.7551749348640442,0.22791962325572968,0.07582654803991318,1.2544126510620117,0.14572370052337646,0.05114764720201492,0.08307692408561707,0.1823897659778595,0.17142857611179352,,,,,48,crps,54,0.7519123554229736,,,,,,,,
0.7548596858978271,0.22755689918994904,0.07569936662912369,1.2544842958450317,0.14583024382591248,0.05443022400140762,0.08307692408561707,0.19054292142391205,0.17142857611179352,0.0,0.0,0.0,0.0,48,static,54,1.1279224157333374,0.3499999940395355,0.3499999940395355,0.30000001192092896,,,0.0,0.0,0.0
0.7553990483283997,0.22769267857074738,0.075745590031147,1.2578486204147339,0.14654001593589783,0.05674932152032852,0.08307692408561707,0.20105035603046417,0.17142857611179352,0.0,0.0,0.4713450074195862,0.2678782641887665,48,prior,54,1.1482436656951904,0.39641401171684265,0.29893752932548523,0.3046485185623169,0.9155888140329758,0.6748086982020748,0.0,0.0,0.0
0.7549862861633301,0.22746606171131134,0.0757845938205719,1.2550022602081299,0.14608514308929443,0.053438544273376465,0.08307692408561707,0.18431280553340912,0.17142857611179352,100.0,100.0,-0.8482193946838379,-0.001646529883146286,48,neural,60,1.0598150491714478,0.05135155841708183,0.31309330463409424,0.6355552077293396,-0.9282356759262629,-0.20689731137988496,1.0,0.1599999964237213,0.007692307699471712
